"sub","cond","rt"
1,2,698
1,1,837
1,2,731
1,2,628
1,1,559
1,1,780
1,2,760
1,1,592
1,2,746
1,1,752
1,1,696
1,1,642
1,2,696
1,1,772
1,1,847
1,1,878
1,1,874
1,1,723
1,2,757
1,1,991
1,2,1176
1,2,1086
1,2,737
1,1,847
1,2,812
1,1,732
1,2,687
1,2,955
1,2,646
1,1,732
1,2,982
1,1,833
1,1,849
1,2,651
1,1,881
1,1,656
1,2,967
1,2,766
1,2,614
1,1,645
1,2,907
1,1,689
1,2,689
1,1,655
1,1,666
1,2,710
1,1,852
1,2,678
1,2,780
1,1,909
1,1,485
1,1,792
1,2,767
1,1,659
1,1,696
1,2,656
1,2,605
1,2,627
1,1,809
1,1,705
1,1,801
1,2,550
1,2,670
1,2,803
1,1,548
1,1,1060
1,1,851
1,2,730
1,1,691
1,1,674
1,1,744
1,2,802
1,2,830
1,2,789
1,1,755
1,2,759
1,1,700
1,2,712
1,2,893
1,1,718
1,2,717
1,2,619
1,2,583
1,2,581
1,2,669
1,1,670
1,1,742
1,2,709
1,1,703
1,2,695
1,1,660
1,2,784
1,1,719
1,1,818
1,2,967
1,2,723
1,1,875
1,1,1038
1,2,892
1,2,1002
1,1,690
1,2,903
1,2,673
1,1,835
1,2,680
1,1,752
1,2,875
1,1,765
1,2,830
1,1,613
1,1,572
1,1,674
1,1,643
1,1,819
1,2,586
1,1,747
1,1,963
1,1,731
1,2,670
1,1,755
1,2,849
1,1,634
1,1,681
1,1,798
1,2,623
1,2,735
1,2,515
1,2,699
1,2,780
1,1,804
1,1,784
1,1,626
1,1,797
1,1,624
1,2,566
1,2,771
1,1,639
1,2,811
1,2,598
1,2,651
1,2,787
1,2,768
1,2,621
1,2,683
1,1,642
1,1,840
1,1,703
1,1,791
1,2,682
1,1,796
1,2,560
1,2,765
1,2,972
1,2,727
1,1,562
1,1,739
1,2,685
1,1,687
1,2,559
1,1,470
1,2,652
1,1,650
1,2,854
1,2,878
1,2,702
1,1,880
1,1,733
1,2,808
1,2,650
1,1,766
1,1,774
1,1,662
1,2,748
1,2,854
1,2,721
1,2,689
1,2,765
1,2,721
1,2,836
1,2,712
1,1,700
1,2,906
1,1,526
1,1,1075
1,1,583
1,1,698
1,2,833
1,2,634
1,1,716
1,2,726
1,2,810
1,2,527
1,2,699
1,2,638
1,1,719
1,2,663
1,2,392
1,1,724
1,2,590
1,1,712
1,1,702
1,2,673
1,2,791
1,1,800
1,1,588
1,1,702
1,1,867
1,1,661
1,2,757
1,2,674
1,2,665
1,1,732
1,1,827
1,2,657
1,2,925
1,2,967
1,2,1022
1,2,833
1,2,782
1,1,632
1,2,722
1,2,702
1,2,774
1,1,786
1,2,827
1,1,1050
1,2,700
1,2,804
1,1,735
1,2,693
1,2,651
1,2,716
1,1,710
1,2,591
1,1,847
1,1,783
1,1,726
1,1,743
1,1,737
1,2,699
1,1,528
1,2,629
1,1,702
1,2,848
1,1,640
